date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,addresses_count_active,addresses_count_sender,addresses_count_receiver,open,high,low,close,volume,transactions_count_total,transactions_count_mean
2023-10-27,0.0703691596973288,125.24071006115278,2511.5848291576845,4470035.861384141,1.0,287547,210001,175852,1803.45067177,1804.73984144,1743.85518466,1779.76702578,511685.88153636816,1034649,144.56462205
2023-10-26,0.0770599077721771,138.9916341159524,3195.920854026152,5764427.636217958,1.0,309795,222442,194945,1787.78250295,1867.88471251,1757.27508252,1803.68285058,829704.9822547914,1091779,152.71772276
2023-10-25,0.0745774068673278,133.28519668428692,3209.843691579757,5736652.234625423,1.0,301517,208775,193042,1784.91499097,1818.73651014,1760.01450527,1787.2061028,650755.1215714196,1081158,151.69889154
2023-10-24,0.0750955887501256,134.04050739388256,3408.39119228602,6083745.961843789,1.0,317413,220506,198852,1766.26367836,1854.43563229,1736.30289945,1784.93183987,1281603.4942949666,1098323,153.76214476
2023-10-23,0.0806390700961079,142.28817053234962,2831.4957054751626,4996192.829630742,1.0,295778,209330,180864,1663.9756051,1802.02221423,1655.85032277,1764.50658921,1144738.3243743363,1063574,148.93908416
2023-10-22,0.0492476297720854,81.93064561727765,1252.7896313380338,2084199.0526889449,1.0,280603,211707,157882,1629.38549697,1668.01269868,1620.36151097,1663.64647388,397631.600004651,980622,137.26511758
2023-10-21,0.0456402811371802,74.35241940023273,1240.2318273389203,2020457.2514059157,1.0,276614,209188,160835,1604.9636016,1644.89900771,1591.12648763,1629.09643735,306980.41222690383,987400,138.1558696
2023-10-20,0.0680304978923335,109.1105285676304,1921.0396468825788,3081054.200168552,1.0,325019,249293,172590,1566.42027519,1631.41350122,1560.028603,1603.84727362,579246.1895124341,1087921,152.02920626
2023-10-19,0.0590397724736691,92.4858775243657,1434.2481503345157,2246751.5238231146,1.0,266094,196264,162544,1563.50998387,1575.02118134,1540.37287541,1566.50125245,357630.52490229346,997931,139.62935497
2023-10-18,0.0492429373311663,77.01924597282085,1391.7066932786208,2176722.3066079537,1.0,278563,207386,165165,1564.18094726,1585.00819629,1555.48552282,1564.06685196,318963.2838718827,1010682,141.49265015
2023-10-17,0.0498769296815125,78.08756671185692,1314.6562510735191,2058232.3002715737,1.0,279548,206867,164809,1599.58924342,1601.09614409,1550.32218166,1565.60492417,369816.4192322794,1002389,140.19426573
2023-10-16,0.0600093093174788,96.02528272224052,1647.243051187608,2635874.025240015,1.0,278406,199534,168441,1557.33943872,1645.06775771,1554.52681168,1600.17310338,803182.320341293,1027904,143.44180854
2023-10-15,0.0371789319277437,57.93092868040805,894.2319238054674,1393361.323622681,1.0,263446,202240,143984,1555.38160066,1567.98360574,1546.38949989,1558.16548988,186763.17445423396,921231,128.77145653
2023-10-14,0.0351025527636881,54.58757928373743,838.3343533124684,1303684.1874663983,1.0,255373,186641,154371,1552.37410394,1561.91271411,1543.10009131,1555.08859003,149384.84198142716,898577,125.63996085
2023-10-13,0.0555460074939701,86.2101403013337,1270.775752577464,1972306.5772662212,1.0,287730,215174,165023,1540.55617008,1575.95312577,1537.14735838,1552.04926854,344306.91192503064,1007291,141.11669936
2023-10-12,0.0488982475950064,75.28162867417778,1249.2300053480064,1923260.526024528,1.0,289113,213195,167183,1566.52072886,1568.23089652,1519.90670348,1539.55678121,437855.2579361106,1004069,140.54717245
2023-10-11,0.0448915332467768,70.34840808366295,1168.9961349607074,1831904.8426875684,1.0,296759,221010,164097,1567.56953082,1578.54770429,1543.46097094,1567.07519204,444877.84332446224,1005828,140.97098809
2023-10-10,0.0428250922819583,67.1225360116956,1115.1519271242223,1747849.716098369,1.0,275725,200490,163131,1580.02034376,1595.55419426,1549.85951191,1567.36465551,447976.173928681,1005950,140.69230769
